Store,Dept,Date,Weekly_Pred
1.0,1.0,2011-03-04,20277.787499977705
1.0,1.0,2011-03-11,19493.277499979326
1.0,1.0,2011-03-18,20586.527499977463
1.0,1.0,2011-03-25,24679.09749997776
1.0,1.0,2011-04-01,55708.317499977966
1.0,1.0,2011-04-08,41410.797499979344
1.0,1.0,2011-04-15,16046.847499979158
1.0,1.0,2011-04-22,14595.237499979754
1.0,1.0,2011-04-29,15004.997499977668
1.0,2.0,2011-03-04,48968.48249999476
1.0,2.0,2011-03-11,44322.44249999449
1.0,2.0,2011-03-18,44185.99249999477
1.0,2.0,2011-03-25,42463.05249999459
1.0,2.0,2011-04-01,48021.00249999478
1.0,2.0,2011-04-08,47120.232499994294
1.0,2.0,2011-04-15,45595.52249999433
1.0,2.0,2011-04-22,44988.612499994415
1.0,2.0,2011-04-29,46541.802499994825
1.0,3.0,2011-03-04,11613.812500003702
1.0,3.0,2011-03-11,9461.682500004279
1.0,3.0,2011-03-18,8339.602500003739
1.0,3.0,2011-03-25,9705.082500003953
1.0,3.0,2011-04-01,10495.312500003934
1.0,3.0,2011-04-08,9517.522500004363
1.0,3.0,2011-04-15,8565.032500004372
1.0,3.0,2011-04-22,8207.162500004493
1.0,3.0,2011-04-29,8675.672500003804
1.0,4.0,2011-03-04,37238.16249999562
1.0,4.0,2011-03-11,31820.64249999653
1.0,4.0,2011-03-18,33270.082499995544
1.0,4.0,2011-03-25,33024.04249999574
1.0,4.0,2011-04-01,36961.4624999959
1.0,4.0,2011-04-08,35326.40249999654
1.0,4.0,2011-04-15,33892.16249999632
1.0,4.0,2011-04-22,32958.68249999657
1.0,4.0,2011-04-29,32589.77249999572
1.0,5.0,2011-03-04,25704.852499995483
1.0,5.0,2011-03-11,24121.63249999388
1.0,5.0,2011-03-18,25255.282499996116
1.0,5.0,2011-03-25,41594.60249999548
1.0,5.0,2011-04-01,32590.632499994812
1.0,5.0,2011-04-08,21139.16249999414
1.0,5.0,2011-04-15,14192.982499993508
1.0,5.0,2011-04-22,27386.69249999347
1.0,5.0,2011-04-29,24629.122499995035
