Store,Dept,Date,IsHoliday,Weekly_Pred
1,1,2012-01-06,False,15984.24
1,1,2012-01-13,False,17359.7
1,1,2012-01-20,False,17341.47
1,1,2012-01-27,False,18461.18
1,1,2012-02-03,False,21665.76
1,1,2012-02-10,True,37887.17
1,1,2012-02-17,False,46845.87
1,1,2012-02-24,False,19363.83
1,2,2012-01-06,False,43202.29
1,2,2012-01-13,False,39857.4
1,2,2012-01-20,False,41596.99
1,2,2012-01-27,False,41651.01
1,2,2012-02-03,False,46829.12
1,2,2012-02-10,True,47595.35
1,2,2012-02-17,False,49202.06
1,2,2012-02-24,False,46165.25
1,3,2012-01-06,False,15808.15
1,3,2012-01-13,False,13275.87
1,3,2012-01-20,False,12532.94
1,3,2012-01-27,False,11983.34
1,3,2012-02-03,False,11012.52
1,3,2012-02-10,True,11428.25
1,3,2012-02-17,False,11724.98
1,3,2012-02-24,False,10473.78
1,4,2012-01-06,False,37947.8
1,4,2012-01-13,False,34393.95
1,4,2012-01-20,False,33735.58
1,4,2012-01-27,False,32905.88
1,4,2012-02-03,False,35870.49
1,4,2012-02-10,True,37373.33
1,4,2012-02-17,False,36479.25
1,4,2012-02-24,False,33677.18
1,5,2012-01-06,False,22699.69
1,5,2012-01-13,False,17445.37
1,5,2012-01-20,False,18438.07
1,5,2012-01-27,False,22118.7
1,5,2012-02-03,False,31280.62
1,5,2012-02-10,True,36667.65
1,5,2012-02-17,False,31092.62
1,5,2012-02-24,False,23870.31
1,6,2012-01-06,False,1376.15
1,6,2012-01-13,False,2355.86
1,6,2012-01-20,False,2163.84
1,6,2012-01-27,False,3200.68
1,6,2012-02-03,False,3324.96
1,6,2012-02-10,True,4542.8
1,6,2012-02-17,False,4033.43
1,6,2012-02-24,False,4203.87
1,7,2012-01-06,False,17516.16
1,7,2012-01-13,False,10774.06
1,7,2012-01-20,False,12657.33
1,7,2012-01-27,False,13957.4
1,7,2012-02-03,False,17239.86
1,7,2012-02-10,True,21169.06
1,7,2012-02-17,False,24549.68
1,7,2012-02-24,False,23811.23
1,8,2012-01-06,False,36599.46
1,8,2012-01-13,False,34228.3
1,8,2012-01-20,False,34547.4
1,8,2012-01-27,False,35110.75
1,8,2012-02-03,False,39903.33
1,8,2012-02-10,True,36011.09
1,8,2012-02-17,False,35386.72
1,8,2012-02-24,False,34195.37
1,9,2012-01-06,False,16131.88
1,9,2012-01-13,False,13215.27
1,9,2012-01-20,False,11355.87
1,9,2012-01-27,False,13213.73
1,9,2012-02-03,False,18799.82
1,9,2012-02-10,True,16065.13
1,9,2012-02-17,False,21941.18
1,9,2012-02-24,False,24517.18
1,10,2012-01-06,False,24500.27
1,10,2012-01-13,False,23058.41
1,10,2012-01-20,False,23852.51
1,10,2012-01-27,False,26223.02
1,10,2012-02-03,False,33036.92
1,10,2012-02-10,True,35673.56
1,10,2012-02-17,False,34655.18
1,10,2012-02-24,False,33148.39
1,11,2012-01-06,False,22496.85
1,11,2012-01-13,False,33958.52
1,11,2012-01-20,False,20886.48
1,11,2012-01-27,False,20041.24
1,11,2012-02-03,False,24741.6
1,11,2012-02-10,True,17711.78
1,11,2012-02-17,False,18671.75
1,11,2012-02-24,False,19421.42
1,12,2012-01-06,False,8022.82
1,12,2012-01-13,False,6639.08
1,12,2012-01-20,False,6605.12
1,12,2012-01-27,False,7786.87
1,12,2012-02-03,False,8254.27
1,12,2012-02-10,True,7642.11
1,12,2012-02-17,False,11484.78
1,12,2012-02-24,False,10804.61
1,13,2012-01-06,False,39764.56
1,13,2012-01-13,False,33668.55
1,13,2012-01-20,False,35961.99
1,13,2012-01-27,False,36321.69
1,13,2012-02-03,False,38065.42
1,13,2012-02-10,True,36883.13
1,13,2012-02-17,False,37604.79
1,13,2012-02-24,False,37838.4
1,14,2012-01-06,False,17744.78
1,14,2012-01-13,False,13608.44
1,14,2012-01-20,False,12889.88
1,14,2012-01-27,False,11687.25
1,14,2012-02-03,False,14051.43
1,14,2012-02-10,True,15647.59
1,14,2012-02-17,False,17304.81
1,14,2012-02-24,False,15411.12
1,16,2012-01-06,False,5324.47
1,16,2012-01-13,False,5725.63
1,16,2012-01-20,False,4594.95
1,16,2012-01-27,False,6365.91
1,16,2012-02-03,False,7875.98
1,16,2012-02-10,True,9715.66
1,16,2012-02-17,False,14819.04
1,16,2012-02-24,False,23253.54
1,17,2012-01-06,False,8582.2
1,17,2012-01-13,False,8503.39
1,17,2012-01-20,False,7658.87
1,17,2012-01-27,False,7724.52
1,17,2012-02-03,False,9741.2
1,17,2012-02-10,True,11068.7
1,17,2012-02-17,False,12612.94
1,17,2012-02-24,False,11949.83
1,18,2012-01-06,False,5180.76
1,18,2012-01-13,False,875.4
1,18,2012-01-20,False,1579.21
1,18,2012-01-27,False,1964.42
1,18,2012-02-03,False,3809.75
1,18,2012-02-10,True,14587.89
1,18,2012-02-17,False,22185.08
1,18,2012-02-24,False,957.7
1,19,2012-01-06,False,955.71
1,19,2012-01-13,False,922.31
1,19,2012-01-20,False,696.22
1,19,2012-01-27,False,866.7
1,19,2012-02-03,False,1273.02
1,19,2012-02-10,True,1344.92
1,19,2012-02-17,False,1475.75
1,19,2012-02-24,False,1977.45
1,20,2012-01-06,False,3218.91
1,20,2012-01-13,False,3082.87
1,20,2012-01-20,False,2464.49
1,20,2012-01-27,False,3071.34
1,20,2012-02-03,False,3408.23
1,20,2012-02-10,True,3232.53
1,20,2012-02-17,False,4092.92
1,20,2012-02-24,False,4184.4
1,21,2012-01-06,False,7716.16
1,21,2012-01-13,False,6359.4
1,21,2012-01-20,False,6480.25
